,filtered,month,press,all
0,49,201601,경향신문,6164
1,47,201601,동아일보,7492
2,53,201602,경향신문,5194
3,56,201602,동아일보,6093
4,52,201603,경향신문,5751
5,40,201603,동아일보,5342
6,51,201604,경향신문,5371
7,54,201604,동아일보,5434
8,66,201605,경향신문,5435
9,48,201605,동아일보,4984
10,59,201606,경향신문,5435
11,47,201606,동아일보,5011
12,64,201607,경향신문,4965
13,56,201607,동아일보,5085
14,58,201608,경향신문,4944
15,35,201608,동아일보,4571
16,62,201609,경향신문,4401
17,41,201609,동아일보,4584
18,44,201610,경향신문,4779
19,37,201610,동아일보,4764
20,63,201611,경향신문,5608
21,37,201611,동아일보,4954
22,45,201612,경향신문,5570
23,53,201612,동아일보,5394
24,64,201701,경향신문,6418
25,52,201701,동아일보,5791
26,67,201702,경향신문,6406
27,63,201702,동아일보,6045
28,60,201703,경향신문,7423
29,50,201703,동아일보,6615
30,99,201704,경향신문,6749
31,46,201704,동아일보,5535
32,91,201705,경향신문,6980
33,61,201705,동아일보,5740
34,116,201706,경향신문,6416
35,68,201706,동아일보,5601
36,110,201707,경향신문,6822
37,70,201707,동아일보,5570
38,106,201708,경향신문,7132
39,60,201708,동아일보,5482
40,94,201709,경향신문,6562
41,66,201709,동아일보,5790
42,69,201710,경향신문,5640
43,75,201710,동아일보,4743
44,87,201711,경향신문,6115
45,89,201711,동아일보,5921
46,62,201712,경향신문,5435
47,86,201712,동아일보,5569
48,5,201712,조선일보,50
49,78,201801,경향신문,5592
50,68,201801,동아일보,5634
51,44,201802,경향신문,4687
52,66,201802,동아일보,4361
53,64,201803,경향신문,5251
54,85,201803,동아일보,5415
55,55,201804,경향신문,5425
56,83,201804,동아일보,5273
57,58,201805,경향신문,5179
58,56,201805,동아일보,5029
59,70,201806,경향신문,4650
60,62,201806,동아일보,4610
61,71,201807,경향신문,5094
62,61,201807,동아일보,4723
63,47,201807,조선일보,4033
64,69,201808,경향신문,4980
65,92,201808,동아일보,4544
66,51,201808,조선일보,5492
67,68,201809,경향신문,4723
68,60,201809,동아일보,3933
69,40,201809,조선일보,4607
70,90,201810,경향신문,5685
71,58,201810,동아일보,4918
72,50,201810,조선일보,5417
73,84,201811,경향신문,5245
74,71,201811,동아일보,4996
75,57,201811,조선일보,5671
76,122,201812,경향신문,4885
77,63,201812,동아일보,4572
78,57,201812,조선일보,5202
79,116,201901,경향신문,5681
80,62,201901,동아일보,5101
81,68,201901,조선일보,5266
82,71,201902,경향신문,4490
83,42,201902,동아일보,4058
84,36,201902,조선일보,4537
85,92,201903,경향신문,5667
86,65,201903,동아일보,4944
87,68,201903,조선일보,5579
88,70,201904,경향신문,5230
89,66,201904,동아일보,5461
90,50,201904,조선일보,6095
91,17,201904,중앙일보,803
92,69,201905,경향신문,5018
93,69,201905,동아일보,5881
94,59,201905,조선일보,6773
95,103,201905,중앙일보,6705
96,69,201906,경향신문,4726
97,83,201906,동아일보,5005
98,62,201906,조선일보,6064
99,118,201906,중앙일보,6329
100,87,201907,경향신문,5233
101,67,201907,동아일보,5505
102,55,201907,조선일보,6155
103,106,201907,중앙일보,7001
104,136,201908,경향신문,5025
105,82,201908,동아일보,5445
106,65,201908,조선일보,5777
107,104,201908,중앙일보,6469
108,95,201909,경향신문,4770
109,74,201909,동아일보,5310
110,56,201909,조선일보,5564
111,110,201909,중앙일보,6501
112,104,201910,경향신문,5515
113,63,201910,동아일보,5741
114,65,201910,조선일보,6131
115,113,201910,중앙일보,6918
116,89,201911,경향신문,5173
117,60,201911,동아일보,5160
118,50,201911,조선일보,6052
119,110,201911,중앙일보,6425
120,83,201912,경향신문,5112
121,62,201912,동아일보,4970
122,45,201912,조선일보,6081
123,111,201912,중앙일보,6640
124,76,202001,경향신문,4883
125,62,202001,동아일보,4980
126,71,202001,조선일보,6428
127,115,202001,중앙일보,6645
128,87,202002,경향신문,5217
129,48,202002,동아일보,5104
130,50,202002,조선일보,6382
131,116,202002,중앙일보,7176
132,82,202003,경향신문,5802
133,62,202003,동아일보,5426
134,63,202003,조선일보,7375
135,125,202003,중앙일보,8418
136,112,202004,경향신문,5243
137,52,202004,동아일보,5029
138,52,202004,조선일보,7303
139,117,202004,중앙일보,7518
140,105,202005,경향신문,5014
141,70,202005,동아일보,4985
142,66,202005,조선일보,6850
143,129,202005,중앙일보,7104
144,84,202006,경향신문,5227
145,63,202006,동아일보,5496
146,48,202006,조선일보,7059
147,123,202006,중앙일보,7587
148,95,202007,경향신문,5649
149,56,202007,동아일보,5442
150,63,202007,조선일보,7212
151,105,202007,중앙일보,8081
152,102,202008,경향신문,5295
153,64,202008,동아일보,5184
154,48,202008,조선일보,6745
155,120,202008,중앙일보,7555
156,88,202009,경향신문,4986
157,64,202009,동아일보,5498
158,71,202009,조선일보,6859
159,237,202009,중앙일보,7915
160,99,202010,경향신문,4933
161,72,202010,동아일보,5108
162,62,202010,조선일보,6659
163,150,202010,중앙일보,7561
164,121,202011,경향신문,4828
165,94,202011,동아일보,5190
166,83,202011,조선일보,6623
167,142,202011,중앙일보,7580
168,101,202012,경향신문,5255
169,77,202012,동아일보,5843
170,67,202012,조선일보,6701
171,132,202012,중앙일보,8433
172,122,202101,경향신문,4741
173,67,202101,동아일보,5716
174,66,202101,조선일보,5863
175,151,202101,중앙일보,7237
176,102,202102,경향신문,4138
177,64,202102,동아일보,5040
178,69,202102,조선일보,4928
179,104,202102,중앙일보,6396
180,94,202103,경향신문,4975
181,79,202103,동아일보,6160
182,52,202103,조선일보,5958
183,135,202103,중앙일보,7823
184,86,202104,경향신문,4602
185,94,202104,동아일보,6131
186,64,202104,조선일보,5642
187,123,202104,중앙일보,7423
188,103,202105,경향신문,4839
189,80,202105,동아일보,5594
190,55,202105,조선일보,5460
191,133,202105,중앙일보,6980
